file,joint,angle_deg,steps,outbound_steps,effective_loop_rate_hz,desired_delta_deg,actual_delta_deg,achieved_pct,final_error_deg,max_abs_error_deg,rms_error_deg,max_abs_tau_sdk_cmd,max_abs_tau_state,max_abs_dq_actual
logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j6_neg5deg_sdk_lowcmd.csv,6,-5.0,3660,1200,243.88714455697934,-5.0,-4.779340935094825,95.5868187018965,-0.2206590649049972,0.24665466885067303,0.2032558746145724,0.0035945152565017464,1.5684473514556885,0.10356929898262024
logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j6_neg10deg_sdk_lowcmd.csv,6,-10.0,3850,1293,256.61942580186974,-10.0,-4.743656291610977,47.436562916109764,-5.2563437082847875,5.591571294649016,3.367778900228262,0.0035957098531075307,30.0,2.2781076431274414
logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j6_neg30deg_sdk_lowcmd.csv,6,-30.0,3949,1296,263.2262682783676,-29.999999999999996,-24.378888923563757,81.26296307854587,-5.621111076405331,5.945130228889885,4.712924447364528,0.006210452235464373,30.0,2.634244441986084
logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j6_pos5deg_sdk_lowcmd.csv,6,5.0,3883,1301,258.7872774239175,5.0,-0.7749314920016673,-15.498629840033347,5.774931492000424,5.779121707093168,4.024424560513399,0.001815744158307546,30.0,2.2197306156158447
logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j6_pos10deg_sdk_lowcmd.csv,6,10.0,3912,1316,260.7758005446462,10.0,4.224247886070746,42.24247886070746,5.77575211392922,5.795069161235684,4.496755176170266,0.00212099418914114,30.0,2.320910930633545
logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j6_pos30deg_sdk_lowcmd.csv,6,30.0,3926,1322,261.6669247275035,29.999999999999996,24.27683506511063,80.92278355036878,5.723164934887445,5.8284772562800065,4.870842642569731,0.007627230749399991,30.0,2.6346628665924072
