t,phase,joint,angle_deg,q_actual_1,q_actual_2,q_actual_3,q_actual_4,q_actual_5,q_actual_6,dq_actual_1,dq_actual_2,dq_actual_3,dq_actual_4,dq_actual_5,dq_actual_6,tau_state_1,tau_state_2,tau_state_3,tau_state_4,tau_state_5,tau_state_6,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,dq_cmd_1,dq_cmd_2,dq_cmd_3,dq_cmd_4,dq_cmd_5,dq_cmd_6,ddq_cmd_1,ddq_cmd_2,ddq_cmd_3,ddq_cmd_4,ddq_cmd_5,ddq_cmd_6,tau_sdk_cmd_1,tau_sdk_cmd_2,tau_sdk_cmd_3,tau_sdk_cmd_4,tau_sdk_cmd_5,tau_sdk_cmd_6,q_error_1,q_error_2,q_error_3,q_error_4,q_error_5,q_error_6,kp_sdk_default_1,kp_sdk_default_2,kp_sdk_default_3,kp_sdk_default_4,kp_sdk_default_5,kp_sdk_default_6,kd_sdk_default_1,kd_sdk_default_2,kd_sdk_default_3,kd_sdk_default_4,kd_sdk_default_5,kd_sdk_default_6,kp_ros_command_1,kp_ros_command_2,kp_ros_command_3,kp_ros_command_4,kp_ros_command_5,kp_ros_command_6,kd_ros_command_1,kd_ros_command_2,kd_ros_command_3,kd_ros_command_4,kd_ros_command_5,kd_ros_command_6,controller_type
3.1829999898036476e-06,outbound,5,-10.0,0.9968903064727783,-5.924568085902138e-06,-0.008309511467814445,-0.06509926915168762,-0.2088678926229477,0.07823189347982407,0.00016072597645688802,-3.0144194170134142e-05,9.169428813038394e-05,-0.0003090178652200848,-7.269361958606169e-06,0.00021534135157708079,-0.6047228574752808,3.8200504779815674,-6.992123603820801,-1.7606955766677856,1.0219001770019531,-0.9559997916221619,0.9968903064727783,-5.922011496295454e-06,-0.008309545926749706,-0.06509920209646225,-0.2088678926229477,0.07823128253221512,0.0,0.0,0.0,0.0,-1.2607659414531604e-18,0.0,0.0,0.0,0.0,0.0,-1.1882800592721596e-12,0.0,-4.3424174845903206e-15,3.8167966386834125,-7.360516818455924,-2.132098396366964,0.01395946325182114,-0.003274927807885482,0.0,2.5565896066837013e-09,-3.4458935260772705e-08,6.705522537231445e-08,0.0,-6.109476089477539e-07,20.0,30.0,30.0,20.0,15.0,10.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,512.0,768.0,768.0,512.0,384.0,256.0,25.6,25.6,25.6,25.6,25.6,25.6,unitree_sdk_lowcmd_ros_direct
0.003362093999839999,outbound,5,-10.0,0.99689120054245,-5.903656528971624e-06,-0.008309578523039818,-0.06509959697723389,-0.2088679075241089,0.07823215425014496,0.00014852693129796535,-2.548996235418599e-06,-0.0001270505745196715,-0.00014001897943671793,-3.841559373540804e-05,0.00022629773593507707,-0.004424757324159145,3.8214659690856934,-6.994933605194092,-2.128679037094116,1.023526668548584,-0.956231415271759,0.9968903064727783,-5.922011496295454e-06,-0.008309545926749706,-0.06509920209646225,-0.2088678926241945,0.07823128253221512,0.0,0.0,0.0,0.0,-1.4827862929039112e-09,0.0,0.0,0.0,0.0,0.0,-1.322201492914407e-06,0.0,-4.827479196803202e-09,3.8167966368586925,-7.360516819621511,-2.1320983964361964,0.013959450897244041,-0.0032749276207368937,-8.940696716308594e-07,-1.835496732383035e-08,3.259629011154175e-08,3.948807716369629e-07,1.4899914385635427e-08,-8.717179298400879e-07,20.0,30.0,30.0,20.0,15.0,10.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,512.0,768.0,768.0,512.0,384.0,256.0,25.6,25.6,25.6,25.6,25.6,25.6,unitree_sdk_lowcmd_ros_direct
0.005841015999976662,outbound,5,-10.0,0.9968913197517395,-5.905153557250742e-06,-0.00830954872071743,-0.06509959697723389,-0.2088679075241089,0.07823215425014496,0.00038726598722860217,-3.001580807904247e-06,-0.000216889355215244,-0.00014001897943671793,-3.841559373540804e-05,0.00022629773593507707,-0.009028361178934574,3.8214056491851807,-7.3545918464660645,-2.128679037094116,0.01685432530939579,-0.9612152576446533,0.9968903064727783,-5.922011496295454e-06,-0.008309545926749706,-0.06509920209646225,-0.2088678926342926,0.07823128253221512,0.0,0.0,0.0,0.0,-7.76368044187282e-09,0.0,0.0,0.0,0.0,0.0,-3.982834636007561e-06,0.0,-1.4541695421148943e-08,3.8167966331882903,-7.360516821965555,-2.1320983965740705,0.013959426036905375,-0.003274927244150385,-1.0132789611816406e-06,-1.685793904471211e-08,2.7939677238464355e-09,3.948807716369629e-07,1.4889816296603797e-08,-8.717179298400879e-07,20.0,30.0,30.0,20.0,15.0,10.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,512.0,768.0,768.0,512.0,384.0,256.0,25.6,25.6,25.6,25.6,25.6,25.6,unitree_sdk_lowcmd_ros_direct
0.008006881999790494,outbound,5,-10.0,0.9968923330307007,-5.907641934754793e-06,-0.008310705423355103,-0.06510020047426224,-0.20886880159378052,0.07823446393013,0.00018291179731022567,-2.9521677902266674e-07,-0.0002234464482171461,-0.0001321320014540106,-0.00014796566392760724,0.00025602566893212497,-0.010064365342259407,3.8213510513305664,-7.3538737297058105,-2.1280128955841064,0.01824117824435234,-0.010393853299319744,0.9968903064727783,-5.922011496295454e-06,-0.008309545926749706,-0.06509920209646225,-0.2088678926629651,0.07823128253221512,0.0,0.0,0.0,0.0,-1.9972277489279537e-08,0.0,0.0,0.0,0.0,0.0,-7.471164077399239e-06,0.0,-2.7277906917379137e-08,3.81679662837899,-7.36051682503588,-2.132098396751907,0.013959393443764324,-0.00327492675042841,-2.0265579223632812e-06,-1.436956154066138e-08,1.1594966053962708e-06,9.98377799987793e-07,9.089308154186515e-07,-3.1813979148864746e-06,20.0,30.0,30.0,20.0,15.0,10.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,512.0,768.0,768.0,512.0,384.0,256.0,25.6,25.6,25.6,25.6,25.6,25.6,unitree_sdk_lowcmd_ros_direct
0.01215876100013702,outbound,5,-10.0,0.9968928694725037,-5.907641934754793e-06,-0.008310972712934017,-0.0651002898812294,-0.20886880159378052,0.07823456078767776,0.00017560106061864644,-2.9521677902266674e-07,-0.00022263564460445195,-0.00013618284719996154,-0.00014796566392760724,0.00023246961063705385,-0.006541133858263493,3.8213510513305664,-7.35373592376709,-2.1278674602508545,0.01824117824435234,-0.010435284115374088,0.9968903064727783,-5.922011496295454e-06,-0.008309545926749706,-0.06509920209646225,-0.2088678928353141,0.07823128253221512,0.0,0.0,0.0,0.0,-6.976236628697373e-08,0.0,0.0,0.0,0.0,0.0,-1.7170904492352513e-05,0.0,-6.269255095942012e-08,3.816796615023708,-7.3605168335557245,-2.1320983972288237,0.013959302820420754,-0.003274925377673087,-2.562999725341797e-06,-1.436956154066138e-08,1.426786184310913e-06,1.087784767150879e-06,9.087584664224657e-07,-3.2782554626464844e-06,20.0,30.0,30.0,20.0,15.0,10.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,512.0,768.0,768.0,512.0,384.0,256.0,25.6,25.6,25.6,25.6,25.6,25.6,unitree_sdk_lowcmd_ros_direct
0.015705514999808656,outbound,5,-10.0,0.9968939423561096,-5.906082151341252e-06,-0.008311906829476357,-0.06510072946548462,-0.20886962115764618,0.07823514193296432,0.0003240538062527776,-4.338513548418632e-08,-0.00022213533520698547,-0.00014238963194657117,-0.00015611482376698405,0.00023248752404469997,-0.005948713980615139,3.821333885192871,-7.35303258895874,-2.1276297569274902,0.018478650599718094,-0.010424585081636906,0.9968903064727783,-5.922011496295454e-06,-0.008309545926749706,-0.06509920209646225,-0.2088678932131438,0.07823128253221512,0.0,0.0,0.0,0.0,-1.5003168942320883e-07,0.0,0.0,0.0,0.0,0.0,-2.8568106072106653e-05,0.0,-1.0430478179391484e-07,3.81679659936452,-7.3605168435332695,-2.1320983977559247,0.01395919634928756,-0.003274923764875751,-3.635883331298828e-06,-1.592934495420195e-08,2.360902726650238e-06,1.5273690223693848e-06,1.7279445023721252e-06,-3.859400749206543e-06,20.0,30.0,30.0,20.0,15.0,10.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,512.0,768.0,768.0,512.0,384.0,256.0,25.6,25.6,25.6,25.6,25.6,25.6,unitree_sdk_lowcmd_ros_direct
0.0168158559999938,outbound,5,-10.0,0.996894359588623,-5.9060685089207254e-06,-0.008312306366860867,-0.06510081142187119,-0.2088698148727417,0.07823529094457626,0.00020904223492834717,-7.43173700357147e-08,-0.00022150362201500684,-0.00014652976824436337,-0.0001530704612378031,0.00024230954295489937,-0.008186978287994862,3.821333646774292,-7.35273551940918,-2.1274821758270264,0.01876016892492771,-0.010253699496388435,0.9968903064727783,-5.922011496295454e-06,-0.008309545926749706,-0.06509920209646225,-0.2088678933981794,0.07823128253221512,0.0,0.0,0.0,0.0,-1.8403190423910415e-07,0.0,0.0,0.0,0.0,0.0,-3.272106127295764e-05,0.0,-1.1946760306539074e-07,3.816796593667553,-7.360516847159936,-2.1320983979390022,0.013959157556003392,-0.003274923177250213,-4.0531158447265625e-06,-1.5942987374728546e-08,2.7604401111602783e-06,1.6093254089355469e-06,1.9214745622941898e-06,-4.0084123611450195e-06,20.0,30.0,30.0,20.0,15.0,10.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,512.0,768.0,768.0,512.0,384.0,256.0,25.6,25.6,25.6,25.6,25.6,25.6,unitree_sdk_lowcmd_ros_direct
0.019767792000038753,outbound,5,-10.0,0.9968944787979126,-5.9060685089207254e-06,-0.008312440477311611,-0.06510081142187119,-0.20886994898319244,0.07823529094457626,0.0003118622989859432,-7.43173700357147e-08,-0.00022270246699918061,-0.00014652976824436337,-0.00014491671754512936,0.00024230954295489937,-0.005906224250793457,3.821331262588501,-7.3524603843688965,-2.12783145904541,0.01859794370830059,-0.010253699496388435,0.9968903064727783,-5.922011496295454e-06,-0.008309545926749706,-0.06509920209646225,-0.20886789410127718,0.07823128253221512,0.0,0.0,0.0,0.0,-2.9842736128514826e-07,0.0,0.0,0.0,0.0,0.0,-4.511017135793776e-05,0.0,-1.647013831286644e-07,3.816796576701026,-7.360516857950342,-2.132098398456482,0.013959041837534176,-0.0032749214244084095,-4.172325134277344e-06,-1.5942987374728546e-08,2.8945505619049072e-06,1.6093254089355469e-06,2.0548819152643727e-06,-4.0084123611450195e-06,20.0,30.0,30.0,20.0,15.0,10.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,512.0,768.0,768.0,512.0,384.0,256.0,25.6,25.6,25.6,25.6,25.6,25.6,unitree_sdk_lowcmd_ros_direct
0.021120096999766247,outbound,5,-10.0,0.9968951344490051,-5.906017577217426e-06,-0.008313018828630447,-0.06510139256715775,-0.20887024700641632,0.07823606580495834,0.0003304606070742011,-7.468873519655972e-09,-0.00022225631983019412,-0.00013871891133021563,-0.00011406564590288326,0.00025213605840690434,-0.011089020408689976,3.8213319778442383,-7.352175712585449,-2.1273796558380127,0.018064938485622406,-0.010875985026359558,0.9968903064727783,-5.922011496295454e-06,-0.008309545926749706,-0.06509920209646225,-0.20886789454798643,0.07823128253221512,0.0,0.0,0.0,0.0,-3.636621067530904e-07,0.0,0.0,0.0,0.0,0.0,-5.143718916481328e-05,0.0,-1.8780190692515763e-07,3.816796568052994,-7.360516863444278,-2.1320983987041195,0.013958982746730113,-0.0032749205293418817,-4.827976226806641e-06,-1.599391907802783e-08,3.4729018807411194e-06,2.1904706954956055e-06,2.3524584298884044e-06,-4.783272743225098e-06,20.0,30.0,30.0,20.0,15.0,10.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,512.0,768.0,768.0,512.0,384.0,256.0,25.6,25.6,25.6,25.6,25.6,25.6,unitree_sdk_lowcmd_ros_direct
0.02535176599985789,outbound,5,-10.0,0.996895968914032,-5.906042588321725e-06,-0.008313552476465702,-0.0651019960641861,-0.20887050032615662,0.07823766767978668,0.00030291691655293107,-5.718789353181819e-08,-0.00022270018234848976,-0.000138837393024005,-0.00015257355698850006,0.00024020708224270493,-0.006481090560555458,3.8213346004486084,-7.351772308349609,-2.1268980503082275,0.019000384956598282,-0.010805709287524223,0.9968903064727783,-5.922011496295454e-06,-0.008309545926749706,-0.06509920209646225,-0.2088678966113922,0.07823128253221512,0.0,0.0,0.0,0.0,-6.273749225682251e-07,0.0,0.0,0.0,0.0,0.0,-7.386203774598199e-05,0.0,-2.6967709133068256e-07,3.8167965374929036,-7.360516882825312,-2.1320983994906904,0.013958773342302064,-0.0032749173574810357,-5.662441253662109e-06,-1.5968907973729074e-08,4.0065497159957886e-06,2.7939677238464355e-06,2.6037147644042413e-06,-6.385147571563721e-06,20.0,30.0,30.0,20.0,15.0,10.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,512.0,768.0,768.0,512.0,384.0,256.0,25.6,25.6,25.6,25.6,25.6,25.6,unitree_sdk_lowcmd_ros_direct
