controller,joint,angle_deg,max_abs_error_rad_cmd_joint,final_abs_error_rad_cmd_joint,rms_error_rad_cmd_joint,max_abs_tau_nm_cmd_joint,all_joint_max_abs_error_rad,all_joint_max_abs_tau_nm,csv
augpd_fric2p5,1,10.0,0.00319854769162925,2.9063059965750426e-05,0.0012770785062309153,1.0976520853727276,0.00319854769162925,7.401146668960388,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j1_pos10.csv
augpd_fric2p5,1,30.0,0.008285386619298118,0.00011163350830756258,0.0034565711522057236,1.2745523492069972,0.008285386619298118,7.407016128157004,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j1_pos30.csv
augpd_fric2p5,1,5.0,0.0015607093725732712,5.660812292695994e-06,0.000604637581048892,1.047398265868716,0.0015607093725732712,7.401262920845899,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j1_pos5.csv
augpd_fric2p5,2,10.0,0.009526414922217036,6.252497941616753e-07,0.004364090736516838,6.955976684748864,0.009526414922217036,7.57601523633972,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j2_pos10.csv
augpd_fric2p5,2,30.0,0.013927413125413457,6.271231560717183e-07,0.005439651181239979,7.921312624512488,0.013927413125413457,7.921312624512488,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j2_pos30.csv
augpd_fric2p5,2,5.0,0.008104972266399238,6.05424063770954e-07,0.0038046554737140035,6.650717662128104,0.008104972266399238,7.516863397876931,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j2_pos5.csv
augpd_fric2p5,3,-10.0,0.02868105100904632,0.0008707138660923874,0.01722676804273988,9.103409990834,0.02868105100904632,9.103409990834,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j3_neg10.csv
augpd_fric2p5,3,-30.0,0.03525624852481679,0.0008685657688500825,0.01774559376712504,9.178721282662586,0.03525624852481679,9.178721282662586,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j3_neg30.csv
augpd_fric2p5,3,-5.0,0.026477839864616097,0.0008741464468293714,0.016587321000986477,9.179495191761143,0.026477839864616097,9.179495191761143,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j3_neg5.csv
augpd_fric2p5,4,-10.0,0.012525745150327394,0.002684578989080144,0.006840311224899124,4.302407691761916,0.012525745150327394,9.474688096474184,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j4_neg10.csv
augpd_fric2p5,4,-30.0,0.021194949165471433,0.002286713118141215,0.007977894568505612,4.437565570662689,0.021194949165471433,10.415627932445203,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j4_neg30.csv
