t,phase,q_actual_1,q_actual_2,q_actual_3,q_actual_4,q_actual_5,q_actual_6,dq_actual_1,dq_actual_2,dq_actual_3,dq_actual_4,dq_actual_5,dq_actual_6,q_des_1,q_des_2,q_des_3,q_des_4,q_des_5,q_des_6,dq_des_1,dq_des_2,dq_des_3,dq_des_4,dq_des_5,dq_des_6,ddq_des_1,ddq_des_2,ddq_des_3,ddq_des_4,ddq_des_5,ddq_des_6,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_ff_1,tau_ff_2,tau_ff_3,tau_ff_4,tau_ff_5,tau_ff_6,tau_fb_1,tau_fb_2,tau_fb_3,tau_fb_4,tau_fb_5,tau_fb_6,tau_total_1,tau_total_2,tau_total_3,tau_total_4,tau_total_5,tau_total_6,controller_type,dynamics_mode,finite_diff_step,finite_diff_method,e_int_1,e_int_2,e_int_3,e_int_4,e_int_5,e_int_6,tau_i_1,tau_i_2,tau_i_3,tau_i_4,tau_i_5,tau_i_6
4.769999577547424e-07,outbound,0.13452340270087326,-5.243211958827487e-06,-0.0005792859121127591,-0.05987582394761404,-0.021285192359950855,-0.010909257602478739,1.7587444399438628e-05,0.00010580861111863138,0.002615523771344031,5.1936748186314375e-05,-3.127268385876082e-05,1.5663204266778096e-05,0.13452335073782695,-5.243211909977674e-06,-0.0005792673257971614,-0.05987587453902066,-0.021285189242073344,-0.010909194068172035,0.0,0.0,0.0,-1.2729212543147782e-20,0.0,0.0,0.0,0.0,0.0,-8.00579399757044e-14,0.0,0.0,-9.001214044937445e-06,3.7961222816061393,-7.403591175413184,-2.1510780139580823,0.0013736267162822008,-0.0036839599599137363,,,,,,,,,,,,,-9.001214044937445e-06,3.7961222816061393,-7.403591175413184,-2.1510780139580823,0.0013736267162822008,-0.0036839599599137363,computed_torque,analytic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002072205999866128,outbound,0.1345234214458353,-5.264298557960956e-06,-0.0005798169822055499,-0.05987581265289865,-0.021285187441595355,-0.010909287966272885,1.9529042726159408e-05,-0.00010580842181758356,-0.0026288129207616053,-1.58001812307902e-05,2.9045778512495982e-05,-6.104492472046214e-05,0.13452335073782695,-5.243211909977674e-06,-0.0005792673257971614,-0.059875874539560774,-0.021285189242073344,-0.010909194068172035,0.0,0.0,0.0,-1.042330247086517e-09,0.0,0.0,0.0,0.0,0.0,-1.5083897307251483e-06,0.0,0.0,-7.019302867469575e-06,3.796044640088177,-7.399605516802511,-2.149808942993757,0.001374381170527059,-0.0036827131077908754,,,,,,,,,,,,,-7.019302867469575e-06,3.796044640088177,-7.399605516802511,-2.149808942993757,0.001374381170527059,-0.0036827131077908754,computed_torque,analytic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0041382379999959085,outbound,0.13452347693387967,-5.243212029881761e-06,-0.0005793124640440794,-0.059875751674034916,-0.021285196814080365,-0.010909348365705895,1.7587469147760645e-05,0.00010580862032661949,0.0026155236282125703,5.193674142237427e-05,-3.127269195926489e-05,1.5663205579376583e-05,0.13452335073782695,-5.243211909977674e-06,-0.0005792673257971614,-0.0598758745476026,-0.021285189242073344,-0.010909194068172035,0.0,0.0,0.0,-8.29114019885688e-09,0.0,0.0,0.0,0.0,0.0,-6.005651950737129e-06,0.0,0.0,-9.033420619915825e-06,3.7961222907883037,-7.403591625627852,-2.1510782105687367,0.0013736246504858715,-0.003683957460415741,,,,,,,,,,,,,-9.033420619915825e-06,3.7961222907883037,-7.403591625627852,-2.1510782105687367,0.0013736246504858715,-0.003683957460415741,computed_torque,analytic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0060729389999778505,outbound,0.13452349567886657,-5.264298632567943e-06,-0.000579843534126212,-0.059875740379268905,-0.021285191895729305,-0.010909378729474284,1.9529067708191347e-05,-0.00010580843121594814,-0.002628812807757738,-1.5800091813796425e-05,2.90457762484429e-05,-6.104488539205059e-05,0.13452335073782695,-5.243211909977674e-06,-0.0005792673257971614,-0.059875874578787014,-0.021285189242073344,-0.010909194068172035,0.0,0.0,0.0,-2.6173389551939007e-08,0.0,0.0,0.0,0.0,0.0,-1.2913793970520301e-05,0.0,0.0,-7.051713109172015e-06,3.796044631177256,-7.399606403673929,-2.149809310283666,0.0013743789822994366,-0.0036827104224201857,,,,,,,,,,,,,-7.051713109172015e-06,3.796044631177256,-7.399606403673929,-2.149809310283666,0.0013743789822994366,-0.0036827104224201857,computed_torque,analytic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009060432999831391,outbound,0.1345235229824313,-5.47442106668683e-06,-0.0005690398611131187,-0.05990602251689392,-0.021285303576187964,-0.01090973281823171,3.3389762239478914e-05,-0.0015138678225137675,-0.0001817085555133693,-4.4010410718461554e-05,-8.006486404532402e-05,4.34660643645105e-05,0.13452335073782695,-5.243211909977674e-06,-0.0005792673257971614,-0.05987587473576056,-0.021285189242073344,-0.010909194068172035,0.0,0.0,0.0,-8.676217305780043e-08,0.0,0.0,0.0,0.0,0.0,-2.867567159552222e-05,0.0,0.0,-1.2569951700141037e-05,3.7967760382126525,-7.40153331260911,-2.1503728062716982,0.0013771224566434825,-0.0036843700985711453,,,,,,,,,,,,,-1.2569951700141037e-05,3.7967760382126525,-7.40153331260911,-2.1503728062716982,0.0013771224566434825,-0.0036843700985711453,computed_torque,analytic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012095301999806907,outbound,0.13452353642405868,-6.17002028224789e-06,-0.0005694305762000695,-0.059906119505799715,-0.021285398646175402,-0.010909678725896654,-5.865798537960475e-06,0.0002437559198387108,-0.00018040193236862264,-4.782376569827546e-05,-4.059631702190026e-05,2.309754802809711e-05,0.13452335073782695,-5.243211909977674e-06,-0.0005792673257971614,-0.059875875162942044,-0.021285189242073344,-0.010909194068172035,0.0,0.0,0.0,-2.0603510245129098e-07,0.0,0.0,0.0,0.0,0.0,-5.097900386935772e-05,0.0,0.0,2.71053351693289e-06,3.795955722400376,-7.401453723946728,-2.1503965809450567,0.001375633654820431,-0.0036835465864112813,,,,,,,,,,,,,2.71053351693289e-06,3.795955722400376,-7.401453723946728,-2.1503965809450567,0.001375633654820431,-0.0036835465864112813,computed_torque,analytic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014167258999805199,outbound,0.1345235335510493,-5.5374973433330865e-06,-0.0005695239822758325,-0.0599062042456282,-0.02128546547114496,-0.010909637314485465,4.600124192837195e-05,-0.0008038817505815942,-0.00019520484817912617,-5.344767323641733e-05,-5.517042808452134e-05,2.8867340634158704e-05,0.13452335073782695,-5.243211909977674e-06,-0.0005792673257971614,-0.059875875712224795,-0.021285189242073344,-0.010909194068172035,0.0,0.0,0.0,-3.306794784046116e-07,0.0,0.0,0.0,0.0,0.0,-6.982434322519463e-05,0.0,0.0,-1.8758121086938665e-05,3.79644422670761,-7.401490894756204,-2.150379229306431,0.0013759214705670571,-0.003684041229675596,,,,,,,,,,,,,-1.8758121086938665e-05,3.79644422670761,-7.401490894756204,-2.150379229306431,0.0013759214705670571,-0.003684041229675596,computed_torque,analytic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.017319824999958655,outbound,0.1345235356205663,-5.831461414196326e-06,-0.0005698836254977024,-0.059906305074456156,-0.021285546413839285,-0.01090959131748992,-6.651124073055546e-06,1.5898631559984732e-06,-0.00017648239275990562,-4.921777234388995e-05,-4.105176617685863e-05,2.3137920811958227e-05,0.13452335073782695,-5.243211909977674e-06,-0.0005792673257971614,-0.05987587715567008,-0.021285189242073344,-0.010909194068172035,0.0,0.0,0.0,-6.030539437647691e-07,0.0,0.0,0.0,0.0,0.0,-0.00010409303641047836,0.0,0.0,3.235207438592401e-06,3.796069046207865,-7.401471158981036,-2.150395729179283,0.0013758375549287026,-0.0036836292086578184,,,,,,,,,,,,,3.235207438592401e-06,3.796069046207865,-7.401471158981036,-2.150395729179283,0.0013758375549287026,-0.0036836292086578184,computed_torque,analytic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020517005999863613,outbound,0.13452354095551655,-5.7083328668383615e-06,-0.0005699846196636216,-0.05990638910951329,-0.0212856153904859,-0.010909548324993246,3.18911045466171e-05,-0.0005876598023521425,-0.0001938876460380882,-5.57787602287584e-05,-4.7238284521780746e-05,2.7275252295798957e-05,0.13452335073782695,-5.243211909977674e-06,-0.0005792673257971614,-0.05987587968370984,-0.021285189242073344,-0.010909194068172035,0.0,0.0,0.0,-1.0005328323121914e-06,0.0,0.0,0.0,0.0,0.0,-0.00014569528249978473,0.0,0.0,-1.2903262094618693e-05,3.7963439883731063,-7.401486451053875,-2.150384403817398,0.0013758283865590625,-0.0036839313474430068,,,,,,,,,,,,,-1.2903262094618693e-05,3.7963439883731063,-7.401486451053875,-2.150384403817398,0.0013758283865590625,-0.0036839313474430068,computed_torque,analytic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.022666821999791864,outbound,0.13452353569547615,-5.851473676266039e-06,-0.0005703430887971095,-0.05990648750102867,-0.021285695396803916,-0.010909502874740795,-5.253077548414022e-06,4.401636192637252e-05,-0.00017614154111188825,-4.9291187808029646e-05,-4.133137670176091e-05,2.3290734069490454e-05,0.13452335073782695,-5.243211909977674e-06,-0.0005792673257971614,-0.05987588219527161,-0.021285189242073344,-0.010909194068172035,0.0,0.0,0.0,-1.3474065961364382e-06,0.0,0.0,0.0,0.0,0.0,-0.00017751987824308815,0.0,0.0,2.5992651834957593e-06,3.796049755350795,-7.401474442954712,-2.1503985267842842,0.0013758173378547382,-0.003683618589432257,,,,,,,,,,,,,2.5992651834957593e-06,3.796049755350795,-7.401474442954712,-2.1503985267842842,0.0013758173378547382,-0.003683618589432257,computed_torque,analytic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
