source,controller,controller_label,joint,angle_deg,case,file,phase_counts,tracking_phase_definition,tracking_samples,tracking_duration_s,tracking_rate_hz,desired_delta_deg,actual_delta_deg,achieved_pct,cmd_joint_signed_final_error_deg,cmd_joint_final_abs_error_deg,cmd_joint_max_abs_error_deg,cmd_joint_rms_error_deg,cmd_joint_final_abs_error_rad,cmd_joint_max_abs_error_rad,cmd_joint_rms_error_rad,cmd_joint_max_abs_torque_nm,all_joint_max_abs_error_deg,all_joint_rms_error_deg,all_joint_max_abs_error_rad,all_joint_rms_error_rad,all_joint_max_abs_torque_nm,torque_measure_prefix,sdk_feedforward_cmd_joint_max_abs_torque_nm,sdk_feedforward_all_joint_max_abs_torque_nm,return_present,return_samples,return_duration_s,return_final_cmd_abs_error_deg,return_final_all_joint_max_abs_error_deg,return_desired_back_to_start_deg,return_completed_successfully
sim,augpd_nofric,AugPD no friction,1,5.0,J1 +5 deg,augpd_nofric_j1_pos5.csv,outbound:2418;return:2209,outbound+outbound_hold,2418,7.999988088000009,302.25045005091977,5.0,2.2034023153674998,44.068046307349995,2.7965999167110698,2.7965999167110698,3.0706602506434946,2.460285716065633,0.04880987640760735,0.05359313158384331,0.04294008628513164,1.0437612486176693,3.0706602506434946,1.004457133190603,0.05359313158384331,0.017531084169319238,7.390466127541164,tau_total,nan,nan,True,2209,6.99366102099998,2.152198251761063,2.152198251761063,0.0,False
sim,augpd_fric2p5,AugPD friction,1,5.0,J1 +5 deg,augpd_fric2p5_j1_pos5.csv,outbound:3315;return:2910,outbound+outbound_hold,3315,7.9989418299999215,414.42981714995574,5.000000000000001,5.001448954116706,100.0289790823341,-0.0014499736868659545,0.0014499736868659545,0.0894220600949592,0.03635663402298745,2.5306814903092167e-05,0.0015607093725732712,0.0006345429686437228,1.0470493760103277,0.0894220600949592,0.019287151367393836,0.0015607093725732712,0.00033662429469154894,7.401262920845899,tau_total,nan,nan,True,2910,6.997794888000044,0.0003243406529872557,0.08668095499395577,0.0,True
sim,computed_torque_baseline,Computed torque baseline,1,5.0,J1 +5 deg,computed_torque_baseline_j1_pos5.csv,outbound:2897;return:2689,outbound+outbound_hold,2897,7.999462352000137,362.14933860844434,5.000000000000001,0.005786879020612739,0.11573758041225475,4.994212106750778,4.994212106750778,4.997007238373446,3.9414614418209393,0.0871654448057636,0.08721422905560577,0.06879147950017832,0.04014197658549713,4.997007238373446,1.6091340565217493,0.08721422905560577,0.02808468739227706,7.402029422904165,tau_total,nan,nan,True,2689,6.994127776999903,0.006728438984368566,0.07957565419650556,0.0,True
sim,cpid_fric2p5,CPID friction,1,5.0,J1 +5 deg,cpid_fric2p5_j1_pos5.csv,outbound:3132;return:2760,outbound+outbound_hold,3132,7.997367069999882,391.62889143214556,5.000000000000001,4.997032835494326,99.9406567098865,0.0029637717759363074,0.0029637717759363074,0.144555643793302,0.06200687841419876,5.172757576776821e-05,0.002522971936533225,0.0010822241872115686,1.045639598609256,0.144555643793302,0.028148352134204014,0.002522971936533225,0.0004912814237526328,7.411510824274264,tau_total,nan,nan,True,2760,6.997747145999938,0.06211154113623767,0.08371369703254768,0.0,True
sdk,sdk_lowcmd,Unitree SDK LOWCMD,1,5.0,J1 +5 deg,sdk_lowcmd/workspace_j1_pos5deg_sdk_lowcmd.csv,outbound:1248;outbound_hold:723;return:1750,outbound+outbound_hold,1971,7.996554648000256,246.48115179115285,4.999999999999995,4.979542584208626,99.59085168417263,0.020447170507613226,0.020447170507613226,0.16895965915485175,0.10430521818001404,0.00035687044807453105,0.002948902355299543,0.0018204694842522925,1.1540855169296265,0.16895965915485175,0.052429903085282926,0.002948902355299543,0.0009150744353397204,7.359782695770264,tau_state,0.002832812556416331,7.376654790502986,True,1750,6.991666674000044,0.09251832740240772,0.2190702067785196,0.0,True
sim,augpd_nofric,AugPD no friction,1,10.0,J1 +10 deg,augpd_nofric_j1_pos10.csv,outbound:2540;return:2540,outbound+outbound_hold,2540,7.998552225000026,317.55746897057884,10.0,7.205509296431398,72.05509296431399,2.7944966901536565,2.7944966901536565,3.255249535205867,2.618047129075254,0.04877316817926511,0.05681482236335744,0.045693542374748146,1.0902276419145365,3.255249535205867,1.0688700560842141,0.05681482236335744,0.018655301754645984,7.392241551396166,tau_total,nan,nan,True,2540,6.996632276000014,2.820240288579726,2.820240288579726,0.0,False
sim,augpd_fric2p5,AugPD friction,1,10.0,J1 +10 deg,augpd_fric2p5_j1_pos10.csv,outbound:3283;return:2885,outbound+outbound_hold,3283,7.997826147000069,410.48654217514235,10.000000000000002,10.000218840460338,100.00218840460337,-0.00022041146478896735,0.00022041146478896735,0.17332347424106098,0.07540761304177838,3.846905769711029e-06,0.003025065296502094,0.0013161111286488492,1.0907814067903936,0.17332347424106098,0.03364115958488262,0.003025065296502094,0.0005871489989450505,7.401146668960388,tau_total,nan,nan,True,2885,6.997195677000036,0.0016651906757731262,0.09297486369310758,0.0,True
sim,computed_torque_baseline,Computed torque baseline,1,10.0,J1 +10 deg,computed_torque_baseline_j1_pos10.csv,outbound:3063;return:2733,outbound+outbound_hold,3063,7.9986765119999745,382.9383517891678,10.000000000000002,0.012834434270859235,0.12834434270859232,9.987163565622522,9.987163565622522,9.993248804075643,7.974287980146211,0.17430888715532977,0.1744150946021057,0.1391775807557596,0.08028147669411433,9.993248804075643,3.2555103125559555,0.1744150946021057,0.05681937378673112,7.402504663006617,tau_total,nan,nan,True,2733,6.99466326400011,0.015424590277027675,0.08127370914508791,0.0,True
sim,cpid_fric2p5,CPID friction,1,10.0,J1 +10 deg,cpid_fric2p5_j1_pos10.csv,outbound:3184;return:2730,outbound+outbound_hold,3184,7.9998996860001625,398.00499068407134,10.000000000000002,9.992175187274993,99.92175187274991,0.00782134627840927,0.00782134627840927,0.263530337953067,0.12041956820666162,0.00013650824449684684,0.0045994720761743935,0.0021017179490361287,1.0904846503073915,0.263530337953067,0.05098911477219409,0.0045994720761743935,0.0008899279354520653,7.410418724628735,tau_total,nan,nan,True,2730,6.997585664000098,0.11268578596854532,0.11268578596854532,0.0,True
sdk,sdk_lowcmd,Unitree SDK LOWCMD,1,10.0,J1 +10 deg,sdk_lowcmd/workspace_j1_pos10deg_sdk_lowcmd.csv,outbound:1206;outbound_hold:752;return:1825,outbound+outbound_hold,1958,7.998635277000176,244.79175911797947,10.000000000000002,9.979442547238476,99.79442547238475,0.02058135842362125,0.02058135842362125,0.24341790640057742,0.1217082816052426,0.0003592124690252607,0.004248443925001455,0.002124210240955933,1.3082919120788574,0.24341790640057742,0.058571040352773496,0.004248443925001455,0.0010222575004743585,7.3690032958984375,tau_state,0.005666403900594779,7.375548158288449,True,1825,6.995642105000115,0.09323549726525905,0.21919058886264106,0.0,True
sim,augpd_nofric,AugPD no friction,1,30.0,J1 +30 deg,augpd_nofric_j1_pos30.csv,outbound:2911;return:2655,outbound+outbound_hold,2911,7.998258675000102,363.9542203228333,29.999999999999996,27.207689182278283,90.69229727426095,2.792313309305962,2.792313309305962,4.209851978940439,3.0521992491504304,0.04873506099464786,0.07347577805410965,0.053270926324573746,1.2940589364811954,4.209851978940439,1.2461647040250716,0.07347577805410965,0.021749677107378133,7.391810924426637,tau_total,nan,nan,True,2655,6.997364736999998,2.8306476567626753,2.8306476567626753,0.0,False
sim,augpd_fric2p5,AugPD friction,1,30.0,J1 +30 deg,augpd_fric2p5_j1_pos30.csv,outbound:3317;return:2893,outbound+outbound_hold,3317,7.999406718000046,414.6557509741538,29.999999999999996,30.004341576959394,100.01447192319799,-0.004342055326778832,0.004342055326778832,0.47471768491994754,0.20165526845942253,7.578316175604893e-05,0.008285386619298118,0.003519548388609996,1.270034058781571,0.47471768491994754,0.08454482495879265,0.008285386619298118,0.0014755855610532108,7.402035237467256,tau_total,nan,nan,True,2893,6.996048930999905,0.006396128878261949,0.11058162224603375,0.0,True
sim,computed_torque_baseline,Computed torque baseline,1,30.0,J1 +30 deg,computed_torque_baseline_j1_pos30.csv,outbound:2901;return:2657,outbound+outbound_hold,2901,7.9995228679999855,362.6466287889116,29.999999999999996,0.03908703536036434,0.13029011786788117,29.960910942863666,29.960910942863666,29.97943634243885,23.898103605864645,0.5229165428497696,0.5232398720676041,0.4171005929050673,0.24081693479063693,29.97943634243885,9.7563663731954,0.5232398720676041,0.17028071624311758,7.401104667851051,tau_total,nan,nan,True,2657,6.996310181000126,0.047688614515595903,0.07948025509129929,0.0,True
sim,cpid_fric2p5,CPID friction,1,30.0,J1 +30 deg,cpid_fric2p5_j1_pos30.csv,outbound:3177;return:2752,outbound+outbound_hold,3177,7.997722237000062,397.2381017813004,29.999999999999996,29.981324435143147,99.93774811714383,0.018673165475201564,0.018673165475201564,0.8175938821834758,0.3637176645254371,0.00032590821931199887,0.014269705188264259,0.006348070793633056,1.274660058282981,0.8175938821834758,0.14971157600335996,0.014269705188264259,0.0026129599296083644,7.402576394246145,tau_total,nan,nan,True,2752,6.99863201800008,0.11361091105000919,0.11361091105000919,0.0,True
sdk,sdk_lowcmd,Unitree SDK LOWCMD,1,30.0,J1 +30 deg,sdk_lowcmd/workspace_j1_pos30deg_sdk_lowcmd.csv,outbound:1224;outbound_hold:745;return:1766,outbound+outbound_hold,1969,7.997784590000265,246.1931773533719,29.999999999999993,29.981931569376787,99.93977189792265,0.01810258156905456,0.01810258156905456,0.4082821596813387,0.18067151710675539,0.0003159496514908433,0.0071258679635926025,0.003153312838086141,2.092926502227783,0.4082821596813387,0.07922218662722601,0.0071258679635926025,0.0013826879972745154,7.368464946746826,tau_state,0.017001556382089302,7.3744863135587035,True,1766,6.995251713000016,0.09353602558873962,0.19570220863720192,0.0,True
sim,augpd_nofric,AugPD no friction,2,5.0,J2 +5 deg,augpd_nofric_j2_pos5.csv,outbound:2990;return:2854,outbound+outbound_hold,2990,7.997193852000009,373.8811457286651,5.0,1.875312403707625,37.5062480741525,3.124686960353901,3.124686960353901,3.3062003142883833,2.6467599000207267,0.05453607555230909,0.05770408121480361,0.04619467476511761,5.230603346909591,3.3062003142883833,1.0805858230316858,0.05770408121480361,0.018859780462275693,7.432508841482817,tau_total,nan,nan,True,2854,6.9946559850000085,3.094378610857861e-05,0.06849790403763799,0.0,True
