source,controller,controller_label,joint,angle_deg,case,file,phase_counts,tracking_phase_definition,tracking_samples,tracking_duration_s,tracking_rate_hz,desired_delta_deg,actual_delta_deg,achieved_pct,cmd_joint_signed_final_error_deg,cmd_joint_final_abs_error_deg,cmd_joint_max_abs_error_deg,cmd_joint_rms_error_deg,cmd_joint_final_abs_error_rad,cmd_joint_max_abs_error_rad,cmd_joint_rms_error_rad,cmd_joint_max_abs_torque_nm,all_joint_max_abs_error_deg,all_joint_rms_error_deg,all_joint_max_abs_error_rad,all_joint_rms_error_rad,all_joint_max_abs_torque_nm,torque_measure_prefix,sdk_feedforward_cmd_joint_max_abs_torque_nm,sdk_feedforward_all_joint_max_abs_torque_nm,return_present,return_samples,return_duration_s,return_final_cmd_abs_error_deg,return_final_all_joint_max_abs_error_deg,return_desired_back_to_start_deg,return_completed_successfully
sim,computed_torque_baseline,Computed torque baseline,5,30.0,J5 +30 deg,computed_torque_baseline_j5_pos30.csv,outbound:3134;return:2847,outbound+outbound_hold,3134,7.997138931999871,391.8901530470561,29.999999999999996,-0.014306179247693616,-0.04768726415897872,30.01430542423159,30.01430542423159,30.01430542423159,23.955804292798465,0.5238484523520347,0.5238484523520347,0.4181076598727249,0.010117875824329443,30.01430542423159,9.77992245379972,0.5238484523520347,0.17069184740852814,7.3963655267880055,tau_total,nan,nan,True,2847,6.997288941000079,0.027614965435469666,0.08112668616143688,0.0,True
sim,computed_torque_baseline,Computed torque baseline,6,-30.0,J6 -30 deg,computed_torque_baseline_j6_neg30.csv,outbound:3006;return:2755,outbound+outbound_hold,3006,7.999339660999794,375.78101785770355,-29.999999999999996,0.009207874571566722,-0.030692915238555742,-30.009205425350114,30.009205425350114,30.009205425350114,23.911113595299806,0.5237594405797049,0.5237594405797049,0.4173276600563605,0.00689784493544551,30.009205425350114,9.761677853179231,0.5237594405797049,0.1703734190569892,7.403018703692778,tau_total,nan,nan,True,2755,6.995881985999858,0.017471941646009737,0.08060858298636774,0.0,True
sim,computed_torque_baseline,Computed torque baseline,2,30.0,J2 +30 deg,computed_torque_baseline_j2_pos30.csv,outbound:2773;return:2506,outbound+outbound_hold,2773,7.998226606000117,346.7018548736477,29.999999999999996,-4.503432001683158e-06,-1.5011440005610527e-05,30.000004503434493,30.000004503434493,30.000004842394958,23.98042640437842,0.5235988541980584,0.5235988601140346,0.4185373967885886,4.059903334606212,30.000004842394958,9.789973866825854,0.5235988601140346,0.170867277660312,7.42499053306639,tau_total,nan,nan,True,2506,6.9986715,3.282513692353868e-05,0.07184570169721895,0.0,True
sim,computed_torque_baseline,Computed torque baseline,6,30.0,J6 +30 deg,computed_torque_baseline_j6_pos30.csv,outbound:3186;return:2716,outbound+outbound_hold,3186,7.999046847000045,398.29745480173983,29.999999999999996,0.009722583476032923,0.03240861158677641,29.990299618594765,29.990299618594765,29.994014424830535,23.795582228728858,0.5234294720040783,0.5234943076039661,0.415311257320369,0.003750409236490131,29.994014424830535,9.714512666244437,0.5234943076039661,0.16955023125265842,7.402794616545994,tau_total,nan,nan,True,2716,6.998560110000199,0.01820844468112275,0.08007357151031227,0.0,True
sim,computed_torque_baseline,Computed torque baseline,5,-30.0,J5 -30 deg,computed_torque_baseline_j5_neg30.csv,outbound:2913;return:2536,outbound+outbound_hold,2913,7.999792469999875,364.1344461027057,-29.999999999999996,-0.014002923671497457,0.04667641223832486,-29.985996969289857,29.985996969289857,29.99135371898079,23.701515775993357,0.523354376607149,0.5234478695264609,0.41366948800446285,0.0074706234186862975,29.99135371898079,9.676108962381777,0.5234478695264609,0.16887996017529414,7.398473186323274,tau_total,nan,nan,True,2536,6.99638678999986,0.02611671135981595,0.0757098714594639,0.0,True
sim,computed_torque_baseline,Computed torque baseline,4,-30.0,J4 -30 deg,computed_torque_baseline_j4_neg30.csv,outbound:2760;return:2246,outbound+outbound_hold,2760,7.997455788000025,345.10975404719443,-29.999999999999996,-0.016202835911746608,0.054009453039155365,-29.98380006276233,29.98380006276233,29.989432755972924,24.000665006834204,0.5233160333548851,0.5234143423971647,0.41889062703744423,2.1926625208207637,29.989432755972924,9.798235594545444,0.5234143423971647,0.17101147201092215,7.5092465373108075,tau_total,nan,nan,True,2246,6.997018494000031,0.029759984877267328,0.07372302012368431,0.0,True
sim,computed_torque_baseline,Computed torque baseline,1,30.0,J1 +30 deg,computed_torque_baseline_j1_pos30.csv,outbound:2901;return:2657,outbound+outbound_hold,2901,7.9995228679999855,362.6466287889116,29.999999999999996,0.03908703536036434,0.13029011786788117,29.960910942863666,29.960910942863666,29.97943634243885,23.898103605864645,0.5229165428497696,0.5232398720676041,0.4171005929050673,0.24081693479063693,29.97943634243885,9.7563663731954,0.5232398720676041,0.17028071624311758,7.401104667851051,tau_total,nan,nan,True,2657,6.996310181000126,0.047688614515595903,0.07948025509129929,0.0,True
sim,computed_torque_baseline,Computed torque baseline,3,-30.0,J3 -30 deg,computed_torque_baseline_j3_neg30.csv,outbound:2768;return:2289,outbound+outbound_hold,2768,7.998049886999979,346.08436295191206,-29.999999999999996,-0.041926364211097494,0.139754547370325,-29.95807280759068,29.95807280759068,29.974199127959352,23.48477326813616,0.522867008044639,0.5231484654313038,0.40988661761332507,7.739886870269984,29.974199127959352,9.587619713446461,0.5231484654313038,0.16733553142875598,7.739886870269984,tau_total,nan,nan,True,2289,6.997619901000007,0.07606784632146989,0.07606784632146989,0.0,True
sim,augpd_nofric,AugPD no friction,6,30.0,J6 +30 deg,augpd_nofric_j6_pos30.csv,outbound:3287;return:2909,outbound+outbound_hold,3287,7.999752955999838,410.88768841727045,29.999999999999996,18.342304749285127,61.14101583095042,11.657709127916151,11.657709127916151,14.264890481688319,10.866543268432208,0.20346540752193365,0.24896930634186104,0.18965695834456803,1.2263499054866769,14.264890481688319,4.436263130638673,0.24896930634186104,0.07742739811447617,7.399988956056083,tau_total,nan,nan,True,2909,6.995527859000049,11.301408970107323,11.301408970107323,0.0,False
sim,augpd_nofric,AugPD no friction,5,30.0,J5 +30 deg,augpd_nofric_j5_pos30.csv,outbound:3342;return:2935,outbound+outbound_hold,3342,7.999824852000074,417.7591462098637,29.999999999999996,18.609181635657066,62.030605452190215,11.390822822588108,11.390822822588108,14.218330892199797,10.724072692898066,0.1988073627654764,0.2481566882069094,0.18717037771428596,1.2267360932420734,14.218330892199797,4.37811003511132,0.2481566882069094,0.07641243512729708,7.4079973856829175,tau_total,nan,nan,True,2935,6.997077677999982,11.455466182725804,11.455466182725804,0.0,False
sim,augpd_nofric,AugPD no friction,5,-30.0,J5 -30 deg,augpd_nofric_j5_neg30.csv,outbound:3321;return:2908,outbound+outbound_hold,3321,7.998814266999943,415.1865375473436,-29.999999999999996,-18.710716429482805,62.369054764942696,-11.289285228841152,11.289285228841152,14.145323492695638,10.655400568613564,0.1970351974400396,0.24688246870724295,0.18597182304118265,1.2095121272240479,14.145323492695638,4.350075037607371,0.24688246870724295,0.07592313211506477,7.39836881664409,tau_total,nan,nan,True,2908,6.998428573999945,11.51534419226296,11.51534419226296,0.0,False
sim,augpd_nofric,AugPD no friction,6,-30.0,J6 -30 deg,augpd_nofric_j6_neg30.csv,outbound:3331;return:2857,outbound+outbound_hold,3331,7.999721529999988,416.38949399779983,-29.999999999999996,-18.59081530709747,61.96938435699157,-11.409159746972698,11.409159746972698,14.005737837781007,10.659846418964316,0.19912740247067673,0.24444623944043004,0.18604941776785422,1.2048243280360518,14.005737837781007,4.35188469025813,0.24444623944043004,0.07595471651213796,7.400578006341665,tau_total,nan,nan,True,2857,6.996922114999961,11.556095554631943,11.556095554631943,0.0,False
sim,computed_torque_baseline,Computed torque baseline,5,10.0,J5 +10 deg,computed_torque_baseline_j5_pos10.csv,outbound:2976;return:2324,outbound+outbound_hold,2976,7.998880242000041,372.05207603606783,10.0,-0.013859436916680807,-0.13859436916680806,10.01385955034671,10.01385955034671,10.01385955034671,7.930934379173424,0.17477481998582897,0.17477481998582897,0.13842091767618864,0.004220030661352361,10.01385955034671,3.237807869042958,0.17477481998582897,0.056510407861781,7.397266905657171,tau_total,nan,nan,True,2324,6.996061508999901,0.02556061847244416,0.07507192689268623,0.0,True
