controller,mean_max_abs_error_rad,mean_final_abs_error_rad,mean_rms_error_rad,mean_max_abs_tau_nm,num_tests
augpd_fric2p5,0.012998867140231664,0.0008321736401882829,0.005461392627314261,3.7624936971511933,24
augpd_nofric,0.12879178428456345,0.0503602958060713,0.08910783224137926,3.0497266796424314,24
computed_torque_baseline,0.261720107374008,0.0004725778278707275,0.18009488536289886,1.7261682082560608,24
cpid_fric2p5,0.03859909029621424,0.017768964372575025,0.018193643145565108,3.2846242676088733,24
